Station ID,Station Name,Town,Region,Country,Building Condition,Service Status,Service Status Year,Lat,Lon,Station Notes,Stop Sequence,Line ID,Line Name,Year Opened,Gauge,Line Status,Line Status Year,Line Notes,Is in NP-M
643,Piilsi,Piilsi,Jõgeva maakond,Estonia,Residential,Closed,1968,58.917571,26.896459,,15,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
644,Mustvee,Mustvee,Jõgeva maakond,Estonia,Residential,Closed,1968,58.849788,26.942369,,16,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
624,Narva,Narva,Ida-Viru maakond,Estonia,Active,Operational,2024,59.368694,28.199648,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
625,Energia,Narva,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,2001,59.372232,28.162739,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
626,Soldina,Soldina,Ida-Viru maakond,Estonia,"Preserved, uncertain",Closed,2012,59.368733,28.059194,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
627,Auvere,Hiiemetsa,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,2013,59.363226,27.924839,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
645,Toila,Jõhvi,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,1990,59.361503,27.466066,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
646,Sompa,Sompa,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,1990,59.357422,27.337772,Building demolished early 2000s.,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
647,Kohtla,Kohtla-Nõmme,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,2014,59.360924,27.217319,Building demolished 2005,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
648,Küttejõu,Kiviõli,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,1950,59.354981,27.002294,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
649,Vaeküla,Vaeküla,Lääne-Viru maakond,Estonia,"Preserved, uncertain",Closed,2001,59.345766,26.525583,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
650,Udriku,Mäo,Lääne-Viru maakond,Estonia,Dismantled/Not built,Closed,1980,59.317915,26.0751,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
651,Patika,Läpi,Lääne-Viru maakond,Estonia,Dismantled/Not built,Closed,2005,59.253611,25.772972,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
652,Rakvere,Rakvere,Lääne-Viru maakond,Estonia,Active,Operational,2024,59.357533,26.364805,,0,110,Tallinn—Narva,1870,1520 mm,Operational,2021,,FALSE
652,Rakvere,Rakvere,Lääne-Viru maakond,Estonia,Active,Operational,2024,59.357533,26.364805,,1,43,Rakvere—Kunda,1870,1520 mm,Freight only,2019,,FALSE
653,Ubja,Ubja,Lääne-Viru maakond,Estonia,Dismantled/Not built,Closed,1939,59.417603,26.437638,,2,43,Rakvere—Kunda,1870,1520 mm,Freight only,2019,,FALSE
654,Aru,Aru,Lääne-Viru maakond,Estonia,Residential,Closed,1939,59.469279,26.491096,,3,43,Rakvere—Kunda,1870,1520 mm,Freight only,2019,,FALSE
655,Kunda,Kunda,Lääne-Viru maakond,Estonia,"Preserved, uncertain",Closed,1939,59.49333,26.524599,Freight operations only,4,43,Rakvere—Kunda,1870,1520 mm,Freight only,2019,,FALSE
